City,Latitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Saint-Philippe,-21.3585,67.59,67.59,82,64,14.63,RE
Anáhuac,27.2333,100.99,100.99,21,7,14.88,MX
Ekhabi,53.5102,58.8,58.8,73,14,17.67,RU
Abu Kamal,34.4506,93.15,93.15,18,0,8.3,SY
Hilo,19.7297,81.54,83.12,69,75,10.36,US
Port Elizabeth,-33.918,48.31,48.49,83,0,9.22,ZA
Pangnirtung,66.1451,48.76,48.76,80,99,1.81,CA
Ndola,-12.9587,57.74,57.74,46,0,4.92,ZM
Jiangyou,31.7667,72.99,72.99,89,82,3.6,CN
Atuona,-9.8,76.87,76.87,75,9,14.41,PF
Butaritari,3.0707,81.32,81.32,78,48,14.63,KI
Hobart,-42.8794,49.98,51.26,71,75,5.75,AU
Palana,59.1167,53.76,53.76,68,36,1.66,RU
Lüderitz,-26.6481,59.59,59.59,49,0,12.48,NA
Ahipara,-35.1667,56.79,56.79,61,10,7.29,NZ
San Patricio,28.017,92.64,99.32,43,38,17.87,US
Kapaa,22.0752,82.78,84.52,64,0,17.27,US
Santa Vitória do Palmar,-33.5189,49.48,49.48,80,76,4.76,BR
Norman Wells,65.282,69.84,69.84,49,20,12.66,CA
Puerto Ayora,-0.7393,72.55,76.96,87,89,7.0,EC
Vestmannaeyjar,63.4427,50.59,50.59,72,64,18.23,IS
Bristol,41.8334,80.04,85.28,63,0,8.99,US
Berezovyy,51.6667,70.11,70.11,85,53,1.77,RU
Safaga,26.7292,87.1,87.1,37,7,9.89,EG
Beloha,-25.1667,64.58,64.58,93,6,3.42,MG
Nouadhibou,20.931,75.18,75.18,83,20,10.36,MR
Kupang,-10.1667,73.33,73.33,87,38,5.93,ID
Coahuayana Viejo,18.7333,89.44,89.44,57,55,6.87,MX
Ribeira Grande,38.5167,74.44,74.44,71,17,2.59,PT
Hong Kong,22.2855,84.36,85.32,82,5,3.0,HK
Krasnyy Yar,46.5331,71.53,71.53,51,24,6.26,RU
Rio Grande,-32.035,54.95,54.95,89,30,7.02,BR
Ilulissat,69.2167,60.82,60.82,41,40,16.11,GL
San Francisco,37.7749,65.48,75.11,80,75,16.11,US
São Lourenço do Sul,-31.3653,53.53,53.53,88,64,6.04,BR
Barrow,71.2906,41.88,41.88,77,51,8.21,US
Vila,42.0304,74.7,74.7,51,0,4.05,PT
Albany,42.6001,79.56,82.02,57,99,1.01,US
Maraã,-1.8333,79.83,79.83,75,37,2.37,BR
Arrondissement de Tarbes,43.25,72.07,72.07,78,0,8.05,FR
Enderby,52.5878,62.74,66.42,69,41,7.25,GB
Touros,-5.1989,75.65,75.65,86,45,14.03,BR
Clyde River,70.4692,39.43,39.43,87,75,8.05,CA
San Miguel,13.4833,92.8,92.8,55,20,4.61,SV
Kavieng,-2.5744,82.33,82.33,77,92,13.78,PG
Laas,46.6166,66.04,67.08,87,4,5.06,IT
Arrondissement d'Arcachon,44.5875,66.25,68.41,88,0,6.91,FR
Misratah,32.3754,82.53,82.53,74,0,12.33,LY
Bengkulu,-3.8004,75.02,75.02,88,90,4.18,ID
Raudeberg,61.9875,52.47,52.47,77,80,7.14,NO
Bahir Dar,11.5936,60.03,60.03,95,100,4.0,ET
Punta Alta,-38.8759,48.18,48.18,89,31,8.05,AR
Ambunti,-4.2365,74.66,74.66,97,100,0.83,PG
Srednekolymsk,67.45,71.46,71.46,36,79,12.66,RU
Hualmay,-11.0964,64.29,64.29,74,20,8.59,PE
North Bend,43.4065,63.45,76.24,91,40,12.66,US
Longyearbyen,78.2186,51.64,51.64,76,0,14.97,SJ
Quatre Cocos,-20.2078,70.09,70.09,72,20,14.58,MU
Oranjestad,12.524,85.95,85.95,58,40,13.8,AW
Naze,28.3667,79.72,79.72,85,100,21.5,JP
Nanortalik,60.1432,48.22,48.22,88,62,7.18,GL
East London,-33.0153,55.15,55.15,63,5,8.63,ZA
Dikson,73.5069,40.96,40.96,91,100,12.3,RU
Mersing,2.4312,73.31,73.31,94,40,4.61,MY
Caravelas,-17.7125,70.11,70.11,91,79,8.14,BR
Aksu,41.1231,71.4,71.4,53,68,7.27,CN
Vardø,70.3705,51.78,51.78,100,100,0.0,NO
Tasiilaq,65.6145,46.56,46.56,49,33,5.77,GL
Boyolangu,-8.1181,69.58,69.58,91,86,0.43,ID
Tuatapere,-46.1333,41.0,41.0,87,79,7.25,NZ
Geilo,60.5333,52.77,53.38,84,82,7.2,NO
Wad Medani,14.4012,80.69,80.69,67,89,17.94,SD
Ossora,59.2353,57.04,57.04,76,48,7.9,RU
Zorritos,-3.6805,73.69,73.69,76,42,11.65,PE
Nadym,65.5333,45.57,45.57,86,36,9.64,RU
Nemuro,43.3236,59.34,59.34,90,98,11.3,JP
Moss Vale,-34.55,46.76,48.33,92,91,7.87,AU
Marion,39.7684,82.15,84.49,58,40,6.91,US
Shaunavon,49.6501,87.58,87.58,30,14,6.53,CA
Sisimiut,66.9395,44.53,44.53,86,70,2.17,GL
Itoman,26.1247,78.8,78.82,94,75,10.36,JP
Galveston,29.3669,93.04,96.91,56,0,11.5,US
Hay River,60.8156,62.58,64.36,48,20,9.22,CA
Constitución,-35.3333,51.01,51.01,88,85,3.76,CL
San Andrés,12.5847,87.82,87.82,70,75,12.66,CO
Arlit,18.7369,97.81,97.81,21,31,11.83,NE
Maceió,-9.6658,78.24,78.24,83,20,9.22,BR
Diamantino,-14.4086,80.38,80.38,27,0,5.44,BR
Maragogi,-9.0122,74.48,74.48,85,32,9.06,BR
Talara,-4.5772,64.76,64.76,81,12,17.63,PE
Cairo,30.0626,83.16,83.16,65,0,8.05,EG
Ostrovnoy,68.0531,54.9,54.9,82,84,5.95,RU
Xingcheng,40.6167,75.11,75.11,87,0,1.66,CN
Lompoc,34.6391,74.14,76.59,68,0,16.11,US
Iquitos,-3.7481,87.84,87.84,66,75,4.61,PE
Pilar,-9.5972,76.93,76.93,93,10,4.61,BR
Nantucket,41.2835,76.91,80.74,66,0,10.36,US
Trofors,65.5333,56.88,57.07,91,84,0.34,NO
Khovd,48.0056,65.57,65.57,56,100,0.4,MN
Along,28.1667,74.34,74.34,99,100,0.45,IN
Klaksvík,62.2266,50.47,50.47,85,32,11.32,FO
Quepos,9.4236,81.84,81.84,81,99,4.76,CR
Codrington,-38.2667,43.12,43.12,92,22,14.92,AU
Sawtell,-30.3833,55.42,55.42,82,40,4.61,AU
Jinchang,38.4953,70.39,70.39,71,37,5.5,CN
Gamba,-2.65,71.1,71.1,95,16,7.85,GA
Talnakh,69.4865,43.21,43.21,73,23,16.06,RU
Batemans Bay,-35.7167,53.1,53.1,77,83,9.53,AU
Passo Fundo,-28.2628,52.29,52.29,79,26,1.83,BR
Novooleksiyivka,46.2269,75.18,75.18,65,46,3.0,UA
Qaqortoq,60.7167,49.37,49.37,81,69,2.04,GL
Ouésso,1.6136,73.69,73.69,79,98,2.89,CG
Bang Saphan,11.2126,77.11,77.11,94,100,4.65,TH
Esperance,-33.8667,47.07,47.07,63,0,15.01,AU
Santa Fe,-31.6333,61.92,61.92,65,0,3.96,AR
Calatayud,41.3535,76.28,76.28,46,6,3.09,ES
Banyo,6.75,64.62,64.62,99,100,1.3,CM
Kawalu,-7.3817,68.25,68.25,96,75,2.55,ID
Kloulklubed,7.0419,73.9,73.9,78,100,7.14,PW
San Cristobal,7.7669,82.58,82.58,82,58,4.88,VE
Lumeje,-11.55,64.45,64.45,26,0,4.36,AO
Yulara,-25.2406,46.96,46.96,46,47,9.86,AU
Fairbanks,64.8378,58.89,60.76,90,100,0.0,US
Kalianget,-7.05,77.52,77.52,80,67,5.97,ID
Neuquén,-38.9516,55.29,55.29,58,0,0.0,AR
Key West,24.5557,89.51,93.2,68,20,17.27,US
Kuminskiy,58.6667,57.22,57.22,69,100,7.38,RU
Ust-Nera,64.5667,70.18,70.18,67,100,6.26,RU
Ajdabiya,30.7554,78.26,78.26,84,0,11.88,LY
Aykhal,66.0,55.0,55.0,96,100,12.5,RU
Toba,34.4833,84.2,84.2,77,97,6.49,JP
Urengoy,65.9667,45.16,45.16,79,0,10.96,RU
Algiers,36.7525,75.02,75.02,78,20,5.75,DZ
Bonthe,7.5264,76.95,76.95,80,100,10.49,SL
Kendari,-3.945,73.58,73.58,95,100,1.21,ID
El Alto,-4.2714,64.8,64.8,76,17,18.88,PE
Kaitangata,-46.2817,38.41,38.41,83,6,6.85,NZ
Banjar,-8.19,72.86,72.86,81,59,3.83,ID
Paamiut,61.994,46.53,46.53,83,73,5.44,GL
Puerto del Rosario,28.5004,74.95,74.95,78,20,17.27,ES
Nadvoitsy,63.8667,51.58,51.58,96,95,5.08,RU
Golyshmanovo,56.3979,60.04,60.04,97,95,8.57,RU
Ulaangom,49.9811,66.36,66.36,65,100,3.69,MN
Severo-Kuril'sk,50.6789,53.19,53.19,88,100,10.09,RU
Wilmington Island,32.0036,89.89,94.08,59,20,11.5,US
Necochea,-38.5473,52.5,52.5,78,83,7.07,AR
Humaitá,-7.5061,86.83,86.83,40,25,0.78,BR
Yenagoa,4.9247,73.98,73.98,91,98,5.79,NG
Mar del Plata,-38.0023,54.97,56.08,86,100,8.99,AR
Djambala,-2.5447,69.21,69.21,65,5,4.03,CG
Upata,8.0086,73.74,73.74,93,82,4.83,VE
Acapulco de Juárez,16.8634,87.62,87.62,66,40,9.22,MX
Nizhniy Baskunchak,48.2198,79.57,79.57,41,11,6.96,RU
Fortuna,40.5982,68.92,71.92,77,0,13.8,US
Bonavista,48.6499,64.45,64.45,78,57,5.48,CA
Cherskiy,68.75,65.62,65.62,45,15,19.73,RU
Biak,-0.9131,74.88,74.88,87,100,4.54,ID
Cabra,37.4725,82.06,82.06,42,0,5.3,ES
Smithers,54.7804,79.12,79.12,50,40,3.44,CA
Pyn U Lwin,22.0333,67.73,67.73,93,100,0.58,MM
Prestea,5.4327,73.06,73.06,82,94,6.76,GH
Vitim,59.4511,60.93,60.93,97,99,4.59,RU
Port Lincoln,-34.7333,52.52,52.52,79,3,12.39,AU
Evensk,61.95,55.85,55.85,76,98,7.09,RU
Ketchikan,55.3422,63.07,63.07,100,100,10.36,US
Dunedin,-45.8742,45.81,45.81,64,1,5.91,NZ
Sakaiminato,35.55,82.38,82.38,78,75,5.75,JP
Ballina,-28.8667,55.02,55.02,99,100,5.95,AU
Tagusao,9.1924,79.79,79.79,81,100,5.39,PH
Kinsale,51.7075,61.97,61.97,63,20,6.91,IE
Edgewater,28.9889,90.37,95.18,62,4,12.3,US
Mirny,62.5353,62.24,62.24,82,71,4.0,RU
Yerbogachën,61.2767,63.72,63.72,86,17,0.38,RU
Flinders,-34.5833,55.31,56.37,78,81,7.0,AU
São Geraldo do Araguaia,-6.4006,77.4,77.4,69,89,3.98,BR
Sinnamary,5.3833,79.29,79.29,83,37,6.73,GF
Daru,-9.0763,77.49,77.49,91,54,10.16,PG
Deputatsky,69.3,66.92,66.92,72,68,2.71,RU
Ziarat,30.3823,63.25,63.25,78,58,2.3,PK
Visby,57.6409,57.42,57.42,82,5,4.61,SE
Samarai,-10.6167,79.95,79.95,82,57,11.14,PG
Guerrero Negro,27.9769,85.66,85.66,43,8,13.09,MX
Vasai,19.47,84.29,84.29,79,67,8.46,IN
Sirawai,7.5854,77.72,77.72,90,100,3.85,PH
Faanui,-16.4833,78.75,78.75,71,13,26.6,PF
Sarkand,45.41,64.44,64.44,47,6,7.54,KZ
Leningradskiy,69.3833,50.77,50.77,63,51,6.11,RU
Oktyabr'skiy,54.4815,60.6,60.6,80,74,1.88,RU
Esmeraldas,-19.7625,73.99,74.44,66,76,7.0,BR
Rundu,-17.9333,59.41,59.41,28,2,6.8,NA
Mehamn,71.0357,58.95,58.95,88,75,2.3,NO
Alice Springs,-23.7,40.55,40.55,70,2,0.0,AU
Oodweyne,9.4092,73.6,73.6,53,100,21.68,SO
Carutapera,-1.195,76.23,76.23,93,66,5.91,BR
Shanghai,31.2222,82.65,83.93,86,20,6.71,CN
Zyryanka,65.75,69.37,69.37,46,48,21.39,RU
Riohacha,11.5444,96.91,96.91,38,20,19.57,CO
Zheleznodorozhnyy,55.7503,60.48,66.22,68,99,5.64,RU
San Miguel de Tucumán,-26.8241,75.2,75.2,29,0,4.61,AR
Çubuk,40.2386,72.9,75.76,60,0,10.36,TR
Brownsville,25.9018,91.92,93.15,54,40,13.8,US
Pocinhos,-7.0767,71.89,71.89,94,46,10.83,BR
Benidorm,38.5382,80.98,83.41,79,22,6.55,ES
Oranjemund,-28.55,52.86,52.86,70,0,11.95,NA
Hofn,64.2539,53.67,53.67,59,77,6.73,IS
Moranbah,-22.0016,59.97,59.97,73,65,8.77,AU
Hobyo,5.3505,75.63,75.63,86,0,25.88,SO
Jalu,29.0331,82.13,82.13,54,0,17.27,LY
Mpika,-11.8343,57.52,57.52,51,0,4.07,ZM
Dapaong,10.8639,76.84,76.84,84,100,1.97,TG
Marawi,7.9986,67.68,67.68,90,96,2.46,PH
Tiksi,71.6872,42.64,42.64,95,100,13.49,RU
Lixouri,38.2019,78.8,78.8,89,0,16.11,GR
Surin,14.8818,75.0,75.0,99,100,3.22,TH
Hasaki,35.7333,82.8,82.8,79,97,1.48,JP
Panabá,21.2833,90.14,90.14,53,76,15.9,MX
Agadez,19.75,90.95,90.95,29,55,11.99,NE
Santa Cruz de la Sierra,-17.8,82.45,82.45,47,20,17.27,BO
Tanabi,-20.6264,84.42,84.42,33,1,2.15,BR
Ambilobe,-13.2,64.0,64.0,82,3,3.85,MG
Kimbe,-5.5502,81.14,81.14,75,86,3.4,PG
Krasnogorskiy,54.6025,57.11,57.11,92,30,7.67,RU
San Jerónimo,-11.9472,63.61,63.61,40,5,6.93,PE
Yakeshi,49.2833,63.55,63.55,88,88,2.62,CN
Birmitrapur,22.4,79.39,79.39,81,100,2.33,IN
Ambulu,-8.345,70.41,70.41,91,36,2.39,ID
Padang,-0.9492,77.2,77.2,86,99,3.47,ID
Shizunai-furukawachō,42.3339,70.54,70.54,91,100,11.65,JP
Torbay,47.6666,75.9,75.97,65,20,13.8,CA
Kalāleh,37.3807,78.4,78.4,78,75,13.8,IR
Shingū,33.7333,81.01,81.01,79,99,4.29,JP
Beitbridge,-22.2167,66.52,66.52,26,4,11.86,ZW
San Quintín,30.4833,76.73,76.73,58,27,10.22,MX
Vostok,46.4856,68.47,68.47,86,100,3.15,RU
Payson,40.0444,92.55,96.58,28,0,8.05,US
Great Yarmouth,52.6083,62.49,63.45,93,57,9.98,GB
Kantunilkín,21.0917,92.93,92.93,42,44,8.46,MX
Cidreira,-30.1811,59.29,59.29,85,86,10.2,BR
Riverton,40.5219,95.52,99.79,23,0,5.01,US
Chokurdakh,70.6333,69.06,69.06,49,100,9.06,RU
High Level,58.5169,69.91,69.91,49,40,10.36,CA
Mékhé,15.1097,80.02,80.02,68,97,9.24,SN
Mbaïki,3.8678,71.26,71.26,85,92,2.1,CF
Seymchan,62.8833,63.19,63.19,59,50,11.45,RU
Mpulungu,-8.7623,75.24,75.24,47,39,7.27,ZM
Cilegon,-6.0174,76.12,76.12,87,55,7.58,ID
Luwuk,-0.9516,75.85,75.85,90,100,3.4,ID
Itarema,-2.9248,78.93,78.93,82,7,16.08,BR
Parrita,9.5201,82.47,82.47,79,98,4.83,CR
Bilma,18.6853,88.34,88.34,42,90,4.12,NE
Itaituba,-4.2761,87.96,87.96,66,20,3.44,BR
Marrakesh,31.6315,100.47,100.47,20,40,3.44,MA
Januária,-15.4833,77.74,77.74,27,2,3.87,BR
Miles City,46.4083,88.77,88.77,25,0,8.05,US
Isangel,-19.55,73.51,73.51,83,75,0.0,VU
Tha Chang,9.2642,77.16,77.16,89,100,8.59,TH
Yamada,39.4667,77.2,77.2,81,94,3.76,JP
Santo Antônio do Içá,-3.1022,81.19,81.19,72,92,1.36,BR
Zhigansk,66.7697,66.45,66.45,75,42,4.99,RU
Peniche,39.3558,68.52,71.29,91,0,6.58,PT
Porto Nacional,-10.7081,89.6,89.6,23,2,3.33,BR
Gualeguaychú,-33.0094,59.9,59.9,70,0,4.38,AR
Otavi,-19.65,57.52,57.52,29,6,3.67,NA
Buraidah,26.326,90.05,90.05,54,100,19.75,SA
Port Hawkesbury,45.6169,75.22,78.91,62,0,12.66,CA
Pozo Colorado,-23.4923,75.65,75.65,41,94,4.92,PY
Hue,16.4667,77.11,77.11,94,20,2.3,VN
Salalah,17.0151,77.09,77.09,88,75,8.05,OM
Sept-Îles,50.2001,74.75,77.52,59,75,9.22,CA
Bull Savanna,17.8868,84.92,84.92,62,2,19.08,JM
Iqaluit,63.7506,49.73,49.73,64,75,8.05,CA
Ancud,-41.8697,44.22,44.22,82,100,1.5,CL
Lebu,-37.6167,48.04,48.04,81,93,5.64,CL
Goundam,16.4145,95.61,95.61,31,6,7.16,ML
Teya,60.3778,53.82,53.82,93,100,3.91,RU
Barabinsk,55.3571,60.57,60.57,94,60,11.43,RU
Dubbo,-32.25,51.93,51.93,93,100,5.75,AU
Gold Coast,-28.0,57.09,59.0,96,100,0.0,AU
Kearney,40.6995,87.71,87.71,62,0,9.22,US
Galle,6.0367,78.15,78.15,87,100,13.65,LK
Launceston,-41.45,47.1,47.84,93,100,17.27,AU
Palāsa,18.7667,80.8,80.8,86,100,6.08,IN
Atar,20.5169,93.07,93.07,40,1,12.73,MR
Hambantota,6.1241,77.34,77.34,100,75,6.91,LK
Romitan,39.9343,75.15,75.15,41,0,6.91,UZ
Sinnai,39.3042,77.23,79.32,69,0,6.91,IT
Grand Gaube,-20.0064,70.38,70.38,70,8,5.01,MU
Husavik,66.0449,42.03,42.03,91,100,17.27,IS
Phek,25.6667,58.82,58.82,99,100,1.39,IN
Margate,51.3813,65.21,67.89,90,97,5.01,GB
Lao Cai,22.4833,75.33,75.33,99,88,0.69,VN
Bandarbeyla,9.4942,76.21,76.21,79,68,29.12,SO
Mount Gambier,-37.8333,44.51,44.51,100,75,11.5,AU
Basco,20.4487,85.51,85.51,74,96,12.66,PH
Katsuura,35.1333,82.53,82.53,80,96,5.93,JP
Sitka,57.0531,57.09,57.09,82,100,9.22,US
Te Anau,-45.4167,40.42,40.42,94,79,5.46,NZ
Kropotkin,45.4375,78.17,78.17,42,0,10.27,RU
Nyurba,63.2842,66.85,66.85,79,54,3.71,RU
Chennai,13.0878,84.96,85.98,87,75,5.75,IN
Alekseyevka,50.6309,63.45,63.45,60,99,10.49,RU
Alofi,-19.0595,80.49,80.49,74,2,12.66,NU
Cockburn Town,21.4612,85.96,85.96,70,40,14.97,TC
Haimen,23.1935,76.89,76.89,87,57,8.19,CN
Canutama,-6.5339,87.31,87.31,46,78,2.46,BR
Aztec,36.8222,85.75,88.48,39,39,1.99,US
Neo Monastiri,39.2333,83.52,83.68,51,43,1.9,GR
Ferme-Neuve,46.7001,79.5,79.5,47,19,5.68,CA
Puerto Carreño,6.189,76.98,76.98,94,40,6.91,CO
Bahadurgarh,28.6833,82.51,86.34,81,98,2.66,IN
Boundiali,9.5217,72.63,72.63,91,85,3.58,CI
Namatanai,-3.6667,81.23,81.23,76,95,7.29,PG
Bubaque,11.2833,79.66,79.66,77,97,15.23,GW
Tura,25.5198,73.6,73.6,99,100,6.11,IN
Nhulunbuy,-12.2333,70.41,70.41,94,100,3.44,AU
Kerema,-7.9631,77.29,77.29,87,16,4.14,PG
Eureka,40.8021,68.38,72.19,76,99,7.0,US
Verkhnevilyuysk,63.4453,63.16,63.16,92,100,3.06,RU
Puerto Ayacucho,5.6639,79.3,79.3,85,86,3.04,VE
Onguday,50.75,53.83,53.83,87,47,2.59,RU
Beyneu,45.3167,82.2,82.2,39,3,9.26,KZ
Makakilo City,21.3469,81.77,82.72,53,40,24.16,US
Koumac,-20.5667,71.42,71.42,69,21,6.42,NC
Landeck,47.1301,64.56,65.21,89,9,3.11,AT
Xining,36.6167,57.33,57.33,84,76,3.0,CN
Ningbo,29.8782,80.58,80.58,89,0,2.24,CN
Oleksandrivka,48.9634,69.66,69.66,56,97,11.86,UA
Vanimo,-2.6741,77.86,77.86,90,100,5.91,PG
Muros,42.7762,74.08,76.68,65,0,11.83,ES
Palembang,-2.9167,77.09,77.09,94,20,0.0,ID
Sainte-Rose,16.3324,86.04,86.04,70,20,13.8,GP
Ariquemes,-9.9133,84.54,84.54,37,1,0.31,BR
Krasnovishersk,60.4078,61.0,61.0,95,100,2.01,RU
Kāndla,23.0333,81.66,81.66,78,48,19.91,IN
La Paz,-16.5,69.78,69.78,10,20,8.05,BO
Angola,-12.5,55.08,55.08,40,0,2.28,AO
Hope,33.6671,89.65,91.98,43,85,9.82,US
Sweetwater,25.7634,88.36,91.02,68,75,18.41,US
Porkhov,57.765,60.01,60.01,68,100,3.29,RU
Wewak,-3.5534,78.82,78.82,87,100,6.87,PG
Piterka,50.6803,70.3,70.3,75,83,11.9,RU
Hirara,24.8,79.07,79.07,94,75,6.91,JP
Sampit,-2.5333,72.81,72.81,97,100,2.26,ID
Mangai,-4.05,76.84,76.84,47,6,2.15,CD
Marzuq,14.4,79.54,79.54,60,2,12.44,YE
Røros,62.5747,49.84,49.84,93,100,0.0,NO
Naberera,-4.2,58.69,58.69,90,22,9.48,TZ
Ust-Kuyga,70.0167,67.5,67.5,80,99,5.06,RU
Vila Velha,-20.3297,70.95,71.55,83,100,6.91,BR
Ubatã,-14.2139,70.25,70.25,87,3,3.76,BR
Ponta do Sol,32.6667,71.02,73.0,80,2,3.76,PT
Gazojak,41.1875,81.66,81.66,29,94,8.34,TM
Poum,-20.2333,71.4,71.4,73,73,10.42,NC
Ayan,56.45,57.25,57.25,97,100,8.28,RU
Ha Tinh,18.3333,77.45,77.45,84,22,3.29,VN
Sechura,-5.5569,71.47,71.47,62,9,18.72,PE
Vlagtwedde,53.0275,65.03,66.45,97,99,8.37,NL
Tigre,-34.426,58.01,59.22,72,0,9.22,AR
Uchiza,-8.4592,84.67,84.67,57,45,1.41,PE
Usoke,-5.1667,70.65,70.65,53,56,3.31,TZ
Wanning,18.8003,80.02,80.02,85,5,4.54,CN
Souillac,-20.5167,70.18,70.18,73,75,11.5,MU
Gamboma,-1.8764,78.3,78.3,53,6,7.11,CG
